Date,Close,Average,Volume
1922/8/1,14.14,0.556,232137500
1922/9/1,11.063,0.53,91893200
1922/10/1,4.806,0.741,77604100
1922/11/1,1.809,0.394,71043700
1922/12/1,-0.047,0.278,120289400
1923/1/1,0.539,0.684,132645800
1923/2/1,-6.556,0.673,204014300
1923/3/1,-1.333,0.573,218138900
1923/4/1,0.527,0.6,167963600
1923/5/1,5.468,0.417,124975200
1923/6/1,8.235,0.761,95004700
1923/7/1,15.649,0.288,100768500
1923/8/1,13.647,0.536,114034200
1923/9/1,11.035,0.379,150647700
1923/10/1,7.494,0.255,125197100
1923/11/1,2.299,0.523,113316700
1923/12/1,-2.171,0.511,136530800
1924/1/1,-3.191,0.299,89079200
1924/2/1,-6.394,0.29,113326500
1924/3/1,-4.082,0.242,126884800
1924/4/1,-0.189,0.308,117770100
1924/5/1,6.405,0.533,108989300
1924/6/1,10.719,0.327,180270300
1924/7/1,15.733,0.251,290502800
1924/8/1,16.456,0.378,164855600
1924/9/1,12.942,0.664,188303500
1924/10/1,8.696,0.601,102350500
1924/11/1,4.082,0.442,81480700
1924/12/1,3.776,0.932,93249100
1925/1/1,2.268,0.822,101178000
1925/2/1,0.994,0.619,112227500
1925/3/1,-2.951,0.989,77338800
1925/4/1,3.714,0.378,88225200
1925/5/1,7.884,0.373,82351500
1925/6/1,12.108,0.563,68504800
1925/7/1,18.591,0.486,104665400
1925/8/1,15.582,0.533,115021200
1925/9/1,11.312,0.815,120682800
1925/10/1,4.655,0.613,100634800
1925/11/1,-0.806,0.67,93361800
1925/12/1,-3.671,0.745,94383800
1926/1/1,-4.527,0.639,99736700
1926/2/1,-5.223,0.973,106409800
1926/3/1,-0.881,0.467,86555000
1926/4/1,1.719,0.429,75450200
1926/5/1,5.952,0.582,113401400
1926/6/1,11.816,0.417,152474700
1926/7/1,16.978,0.489,104844600
1926/8/1,15.601,0.472,175166600
1926/9/1,11.174,0.216,188452600
1926/10/1,3.934,0.542,66636500
1926/11/1,4.337,0.504,84700000
1926/12/1,-1.961,0.599,89053300
1927/1/1,-1.579,0.504,90239800
