dt,Country,AverageTemperature,TemperatureDifference
1968,Rwanda,19.0575,-0.04574999999999818
1969,Rwanda,19.46575,0.4082499999999989
1970,Rwanda,19.224666666666668,-0.2410833333333322
1971,Rwanda,18.91133333333333,-0.31333333333333613
1972,Rwanda,19.45175,0.540416666666669
1973,Rwanda,19.53983333333333,0.08808333333332996
1974,Rwanda,19.142916666666668,-0.39691666666666237
1975,Rwanda,19.148666666666667,0.005749999999999034
1976,Rwanda,19.2815,0.13283333333333402
1977,Rwanda,19.59325,0.31174999999999997
1978,Rwanda,19.5185,-0.07475000000000165
1979,Rwanda,19.56525,0.0467499999999994
1980,Rwanda,19.771083333333337,0.20583333333333798
1981,Rwanda,19.58233333333333,-0.18875000000000597
1982,Rwanda,19.547083333333333,-0.03524999999999778
1983,Rwanda,19.968833333333333,0.4217499999999994
1984,Rwanda,19.498166666666663,-0.4706666666666699
1985,Rwanda,19.46183333333333,-0.03633333333333155
1986,Rwanda,19.63275,0.17091666666667038
1987,Rwanda,20.16625,0.5335000000000001
1988,Rwanda,19.78475,-0.3815000000000026
1989,Rwanda,19.187416666666667,-0.5973333333333315
1990,Rwanda,19.54583333333333,0.3584166666666633
1991,Rwanda,19.380750000000003,-0.16508333333332814
1992,Rwanda,19.692,0.3112499999999976
1993,Rwanda,19.693500000000004,0.0015000000000036096
1994,Rwanda,19.712416666666662,0.0189166666666587
1995,Rwanda,19.9635,0.2510833333333373
1996,Rwanda,19.477416666666667,-0.4860833333333332
1997,Rwanda,19.95575,0.4783333333333317
1998,Rwanda,19.951833333333337,-0.003916666666661683
1999,Rwanda,19.50883333333333,-0.44300000000000495
2000,Rwanda,19.753083333333333,0.24425000000000097
2001,Rwanda,19.66125,-0.09183333333333366
2002,Rwanda,19.94725,0.28600000000000136
2003,Rwanda,20.09433333333333,0.147083333333331
2004,Rwanda,20.08491666666667,-0.009416666666663076
2005,Rwanda,20.432583333333334,0.34766666666666524
2006,Rwanda,20.16283333333333,-0.26975000000000193
2007,Rwanda,19.76325,-0.3995833333333323
2008,Rwanda,19.730500000000003,-0.032749999999996504
2009,Rwanda,20.022666666666662,0.2921666666666596
2010,Rwanda,20.267083333333336,0.24441666666667317
2011,Rwanda,19.77375,-0.49333333333333584
2012,Rwanda,19.959416666666662,0.18566666666666265
1901,Saint Barthélemy,26.66283333333333,0.2560833333333328
1902,Saint Barthélemy,26.50066666666667,-0.16216666666666057
1903,Saint Barthélemy,26.506416666666667,0.005749999999995481
1904,Saint Barthélemy,26.14025,-0.36616666666666475
1905,Saint Barthélemy,26.54283333333333,0.40258333333332885
1906,Saint Barthélemy,26.37683333333333,-0.16600000000000037
1907,Saint Barthélemy,26.126,-0.250833333333329
1908,Saint Barthélemy,26.29358333333333,0.16758333333332942
1909,Saint Barthélemy,26.12833333333333,-0.16525000000000034
1910,Saint Barthélemy,26.07708333333333,-0.051249999999999574
1911,Saint Barthélemy,26.305333333333333,0.22825000000000273
1912,Saint Barthélemy,26.468,0.16266666666666652
1913,Saint Barthélemy,25.926666666666662,-0.5413333333333377
1914,Saint Barthélemy,26.379666666666665,0.45300000000000296
